FNGI,N'giva,N'giva,,Angola,,0604,APX52380.bgl,-17.0500001,15.6999998,
FNZG,Nzagi,Nzagi,,Angola,,0604,APX53340.bgl,-7.716944,21.3581671,
FNZE,N'zeto,N'zeto,,Angola,,0604,APX51340.bgl,-7.2220238,12.8747208,
FNPA,Porto Amboim,Porto Amboim,,Angola,,0604,APX51350.bgl,-10.7166665,13.7666667,
FNSA,Saurimo,Saurimo,,Angola,,0604,APX53350.bgl,-9.7,20.4333334,
Z00N,Saurimo North,Saurimo,,Angola,,0604,APX53350.bgl,-9.4343061,20.3122218,
FNSO,Soyo,Soyo,,Angola,,0604,APX51340.bgl,-6.1166667,12.3666666,
FNSU,Sumbe,Sumbe,,Angola,,0604,APX51350.bgl,-11.1666668,13.8500002,
FNUG,Uige,Uige,,Angola,,0604,APX52340.bgl,-7.6,15.0333332,
FNWK,Wako Kungo,Wako Kungo,,Angola,,0604,APX52360.bgl,-11.4499999,15.0833331,
FNXA,Xangongo,Xangongo,,Angola,,0604,APX51370.bgl,-16.75,14.9666668,
TQPF,Wallblake,The Valley,,Anguilla,,0303,APX31250.bgl,18.2047222,-63.0549999,
SAWB,Base Marambio,Base Marambio,,Antarctica,,0406,APX32540.bgl,-64.2166667,-56.6333333,
NZIR,McMurdo Station,McMurdo Station,,Antarctica,,1107,APX92590.bgl,-77.8666671,166.4833331,
NZPG,McMurdo Station,McMurdo Station,,Antarctica,,1107,APX92590.bgl,-77.9652641,166.5230937,
NZWD,McMurdo Station,McMurdo Station,,Antarctica,,1107,APX92590.bgl,-77.8666671,167.0666671,
NZ12,Palmer Station,Palmer Station,,Antarctica,,0306,APX30550.bgl,-64.775003,-64.0544419,
SA47,Petrel,Petrel,,Antarctica,,0406,APX33540.bgl,-63.4789721,-56.2312782,
NZSP,South Pole Station,South Pole Station,,Antarctica,,0607,APX48630.bgl,-89.999997,.0,
